brand,model_name,box_shape,platform_width,shank_strength,vamp_length,wing_height,heel_height,available_sizes,available_widths,material_composition,intended_foot_shape,price_range,availability,notes,technology_type,freed_makers,data_sources,assumptions
Bloch,Eurostretch,Tapered,Wide,"Medium, Strong",Medium,Medium,Medium,"1, 1, ., 5, 2, 2, ., 5, 3, 3, ., 5, 4, 4, ., 5, 5, 5, ., 5, 6, 6, ., 5, 7, 7, ., 5, 8","B, C, D, E","Stretch satin upper, Leather sole, Smart Paste box","Egyptian, Greek",$130–155,Available,"Split stretch outer, dynamic fit, best on moderate-tapered feet and high arches.",Advanced Synthetic,N/A,"https://www.blochworld.com/products/eurostretch, https://www.movedancewear.com/dance/eurostretch","Box shape and Bloch graphics note best suited for Egyptian, Greek."
So Danca,Claudia,Medium,Medium,"Medium, Hard",Medium,Medium,Medium,"3, 4, 3, 5, 3, 6, 3, 7, 3, 8, 3, 9, 4, 0, 4, 1","N, M, W","Satin upper, Leather sole, Paste box","Greek, Egyptian",$96–106,Available,"International bestseller; moderate box, high wing for long arch.",Enhanced Traditional,N/A,https://www.sodanca.com/shop/pointe-shoes/claudia,"So Danca charts; medium box, Greek/Egyptian."
Bloch,Grace,Tapered,Narrow,Medium,Medium,Medium,Medium,"3, 3, ., 5, 4, 4, ., 5, 5, 5, ., 5, 6, 6, ., 5, 7, 7, ., 5, 8","B, C, D, E","Stretch satin upper, Leather sole, Nano particle gel platform","Egyptian, Greek",$144–159,Available,"Featherweight, memory comfort, highly adaptable to narrow and tapered foot shapes.",Advanced Synthetic,N/A,"https://www.blochworld.com/products/grace, https://www.balletbliss.com/pointe-shoes/grace/","Ultra-light/stretch combo indicated for narrow, long toes (Egyptian, Greek)."
Bloch,Hannah,Medium,Medium,Soft,Short,Low,Low,"4, 4, ., 5, 5, 5, ., 5, 6, 6, ., 5, 7","A, B, C, D, E","Satin upper, Leather sole, B Paste","Egyptian, Greek",$89–109,Available,"Beginner/intermediate soft shoe, low crown, best for light arch and thin/tapered toes.",Enhanced Traditional,N/A,"https://www.blochworld.com/products/hannah, https://www.dancedirect.com.au/bloch-hannah-pointe-shoes/","Short vamp, low wing/crown, matches Bloch's Egyptian, Greek recommendations."
Bloch,Heritage,Tapered,Medium,"Hard, Medium",Long,High,High,"3, 3, ., 5, 4, 4, ., 5, 5, 5, ., 5, 6, 6, ., 5, 7","B, C, D, E","Satin upper, Leather sole, A Paste","Egyptian, Greek",$120–135,Available,"Classic Russian-style, featherweight, high arch/long vamp, favored for long toes.",Enhanced Traditional,N/A,"https://www.blochworld.com/products/heritage, https://www.balletemporium.com/collections/pointe-shoes/products/bl_heritage_",Tapered/Bloch Russian style = Egyptian/Greek.
Bloch,Heritage Strong,Tapered,Medium,Strong,Long,High,High,"3, 3, ., 5, 4, 4, ., 5, 5, 5, ., 5, 6, 6, ., 5, 7","B, C, D, E","Satin upper, Leather sole, A Paste, Reinforced shank","Egyptian, Greek",$128–136,Available,"Stiffer version of Heritage, higher support for long toes/high arch.",Enhanced Traditional,N/A,"https://www.blochworld.com/products/heritage-strong, https://www.perthdancewear.com.au/products/bloch-heritage-strong","All key fit features same as Heritage, shank adjusted."
Bloch,Jetstream,Medium-Square,Wide,Medium,Medium,Medium,Medium,"2, 2, ., 5, 3, 3, ., 5, 4, 4, ., 5, 5, 5, ., 5, 6, 6, ., 5, 7, 7, ., 5, 8","X, X, X, X, X, X","Satin upper, Leather sole, Paste box","Square/Roman, Greek",$84–115 (closeout),Discontinued,"Box with air cushion, support for square or wider platforms.",Enhanced Traditional,N/A,"https://www.blochworld.com/products/jetstream, https://www.sdcbluesquare.com/pointe/bloch-jetstream",Fit notes: broad platform = square/roman fit.
Bloch,Serenade,Medium-Square,Medium,"Hard, Medium",Medium,High,Medium,"2, 2, ., 5, 3, 3, ., 5, 4, 4, ., 5, 5, 5, ., 5, 6, 6, ., 5, 7, 7, ., 5, 8","B, C, D, E","Satin upper, Leather sole, Paste box","Square/Roman, Greek",$124–129,Available,"Supports 'rolling in' feet, wide/medium square platform, multiple shanks.",Enhanced Traditional,N/A,"https://www.blochworld.com/products/serenade, https://www.dancewearsolutions.com/pointe-shoes/serenade","Box fits flat, square and Greek shapes (Bloch official)."
Bloch,Serenade Strong,Medium-Square,Medium,Strong,Medium,High,Medium,"2, 2, ., 5, 3, 3, ., 5, 4, 4, ., 5, 5, 5, ., 5, 6, 6, ., 5, 7, 7, ., 5, 8","B, C, D, E","Satin upper, Leather sole, Paste box, Extra strong shank","Square/Roman, Greek",$129–137,Available,"Strong shank version for advanced dancers, equal fit as Serenade.",Enhanced Traditional,N/A,https://www.blochworld.com/products/serenade-strong,"Shape, heel, etc. same as regular Serenade."
Bloch,Serene,Medium,Wide,Medium,Medium,Medium,Medium,"3, 3, ., 5, 4, 4, ., 5, 5, 5, ., 5, 6, 6, ., 5, 7, 7, ., 5, 8","B, C, D, E","Satin upper, Leather sole, Paste box","Square/Roman, Greek",$114–120,Available,"Wide platform, soft insole, designed for comfort across medium-wider feet.",Enhanced Traditional,N/A,"https://www.blochworld.com/products/serene, https://www.dancedirect.com.au/bloch-serene-pointe-shoes/",Product description and reviews highlight square/roman suitability.
Bloch,Signature Performance,Medium-Square,Medium,"Medium, Strong",Medium,Medium,Medium,"2, 2, ., 5, 3, 3, ., 5, 4, 4, ., 5, 5, 5, ., 5, 6, 6, ., 5, 7, 7, ., 5, 8","B, C, D, E","Satin upper, Paste box, Leather sole","Square/Roman, Greek",$110–139 (leftover),Discontinued,"Built for durability, often used for performance, tailored to even or medium-tapered toes.",Enhanced Traditional,N/A,"https://www.blochworld.com/products/signature-performance, https://www.movedancewear.com/dance/signature-performance/","Design, box width in guides mapped to feet with even/medium toe length."
Bloch,Signature Rehearsal,Medium-Square,Medium,"Medium, Strong",Medium,Medium,Medium,"2, 2, ., 5, 3, 3, ., 5, 4, 4, ., 5, 5, 5, ., 5, 6, 6, ., 5, 7, 7, ., 5, 8","B, C, D, E","Satin upper, Paste box, Leather sole","Square/Roman, Greek",$112–139 (leftover),Discontinued,"Built for long wear, training; wide-low box for moderate/medium-even toes.",Enhanced Traditional,N/A,"https://www.blochworld.com/products/signature-rehearsal, https://www.danzershoes.com/signature-rehearsal/",Bloch fitters recommend for even-squared foot shapes.
Bloch,Sonata,Tapered,Medium,"Medium, Soft",Medium,Medium,Medium,"3, 3, ., 5, 4, 4, ., 5, 5, 5, ., 5, 6, 6, ., 5, 7","B, C, D, E","Satin upper, Leather sole, Paste box","Egyptian, Greek",$107–119,Available,"Flexible demi/simple shank, for lower-volume/tapered toes.",Enhanced Traditional,N/A,"https://www.blochworld.com/products/sonata, https://www.dancingsuppliesdepot.com/bloch_sonata","Bloch/fitters: best for moderate-narrow foot, longer first/second toe."
Bloch,Superlative,Tapered,Narrow,Hard,Long,High,Medium,"3, 3, ., 5, 4, 4, ., 5, 5, 5, ., 5, 6, 6, ., 5, 7, 7, ., 5, 8","B, C, D, E","Stretch satin upper, Leather sole, Smart Paste box","Egyptian, Greek",$165–185,Available,"Hybrid tech, long vamp and high wings, fits tapered, narrow, high-arch shapes.",Advanced Synthetic,N/A,"https://www.blochworld.com/products/superlative, https://www.dancespirit.com/new-bloch-superlative/","Marketing and reviews highlight fit for elite high-arch, long-toe dancers."
Bloch,Suprima,Narrow-Tapered,Narrow,Medium,Medium,Medium,Medium,"4, 4, ., 5, 5, 5, ., 5, 6, 6, ., 5, 7","B, C, D, E","Satin upper, Leather sole, Paste box",Egyptian,$102–120,Available,Narrow/tapered box designed for long/first-toe-dominant feet; not for squares.,Enhanced Traditional,N/A,"https://www.blochworld.com/products/suprima, https://www.balletbox.com/blogs/brands/bloch-suprima-pointe-shoes","Extreme taper, Bloch charts = best for Egyptian."
Bloch,Sylphide,Wide,Wide,Soft,Short,Medium,Medium,"4, 4, ., 5, 5, 5, ., 5, 6, 6, ., 5, 7, 7, ., 5, 8","B, C, D, E","Satin upper, Leather sole, Paste box","Giselle/Peasant, Square/Roman",$105–120,Available,"Deep wide box, fit for square/peasant toes, soft shank for lighter dancers.",Enhanced Traditional,N/A,"https://www.blochworld.com/products/sylphide, https://www.dancestuffonline.com/bloch-sylphide",Box shape and all fit details from diagrams.
Bloch,Synergy,Medium,Medium,Hard,Medium,Medium,Medium,"2, 2, ., 5, 3, 3, ., 5, 4, 4, ., 5, 5, 5, ., 5, 6, 6, ., 5, 7, 7, ., 5, 8","B, C, D, E","Satin upper, Leather sole, Paste box","Greek, Square/Roman",$122–139,Available,"Deep vamp, hard shank, for strong arches and longer first/second toes.",Enhanced Traditional,N/A,"https://www.blochworld.com/products/synergy, https://www.balletemporium.com/collections/pointe-shoes/products/bl_synergy_",Bloch sites targeting medium-even toe line and arch.
Bloch,Synthesis,Tapered,Medium,"Medium, Strong",Medium,Medium,Medium,"3, 3, ., 5, 4, 4, ., 5, 5, 5, ., 5, 6, 6, ., 5, 7, 7, ., 5, 8","B, C, D, E","Stretch satin upper, Leather sole, A Paste","Egyptian, Greek",$140–154,Available,"Streamlined for mid-high arch, hybrid box, comfort lining.",Enhanced Traditional,N/A,"https://www.blochworld.com/products/synthesis, https://www.mademoiselledanse.com/en/pointe-shoes/4097-synthesis-bloch.html","Hybrid, moderate-taper for longer toes."
Bloch,TMT Serenade,Medium-Square,Medium,Medium,Medium,High,Medium,"2, 2, ., 5, 3, 3, ., 5, 4, 4, ., 5, 5, 5, ., 5, 6, 6, ., 5, 7, 7, ., 5, 8","B, C, D, E","Satin upper, TMT Paste box, Leather sole","Square/Roman, Greek",$125–139,Available,"Heat-moldable box, square platform and wide wings for broad toe shapes.",Heat‑Moldable Technology,N/A,"https://www.blochworld.com/products/tmt-serenade, https://www.balletbox.com/brands-tmt-serenade","Serenade shaping maintained, TMT paste = custom mold for square/roman."
Bloch,TMT Sonata,Tapered,Medium,"Medium, Soft",Medium,Medium,Medium,"3, 3, ., 5, 4, 4, ., 5, 5, 5, ., 5, 6, 6, ., 5, 7","B, C, D, E","Satin upper, TMT Paste box, Leather sole","Egyptian, Greek",$130–136,Available,"TMT version, suits tapered feet as regular Sonata; heat-mold for custom fit.",Heat‑Moldable Technology,N/A,"https://www.blochworld.com/products/tmt-sonata, https://www.allaboutdance.com/pointe-shoes/bloch/tmt-sonata","Foot shape notes from original Sonata, confirmed fitters."
Chacott,C.O.A.D Allonge,Tapered,Medium,Medium,Medium,Medium,Medium,"2, 1, 2, 2, 2, 3, 2, 4, 2, 5, 2, 6","A, B, C, D","Satin upper, Leather sole, Paste box","Greek, Egyptian",$126–145,Available,"Japanese cut, medium box, fits longer toes, medium-low metatarsals",Enhanced Traditional,N/A,"https://www.chacott-jp.com/products/COAD-allonge, https://www.nkdance.com/chacott","Sizing, box, foot shape via Chacott JP, importer diagrams."
Chacott,Coppelia II,Tapered,Medium,Medium,Long,Medium,Medium,"2, 1, 2, 2, 2, 3, 2, 4, 2, 5, 2, 6","A, B, C, D","Satin upper, Leather sole, Paste box","Egyptian, Greek",$129–145,Available,"Refined vamp, moderate box, designed for high arch and long toes",Enhanced Traditional,N/A,"https://www.chacott-jp.com/products/coppelia2, https://www.dancedirect.com/chacott","Chacott tech sheets, importer mapping."
Chacott,Progres,Medium,Medium,Medium,Medium,Medium,Medium,"2, 1, 2, 2, 2, 3, 2, 4, 2, 5, 2, 6","A, B, C, D","Satin upper, Leather sole, Paste box","Egyptian, Greek",$123–143,Available,"All-purpose Japanese platform, fits most average shapes",Enhanced Traditional,N/A,"https://www.chacott-jp.com/products/progres, https://www.dancewear.co.uk",Mapped to average/medium feet via Chacott/retailer.
Chacott,Veronese,Medium,Medium,"Medium, Hard",Medium,Medium,Medium,"2, 1, 2, 2, 2, 3, 2, 4, 2, 5, 2, 6","A, B, C, D","Satin upper, Leather sole, Paste box","Egyptian, Greek, Square/Roman",$89–119 (archive/closeout),Discontinued,"Historic box, favorite for adaptable fit, supports multiple arch types",Enhanced Traditional,N/A,"https://www.chacott-jp.com/products/veronese, https://www.balletbox.com/jp-chacott",Seller reviews and brand guides.
Chacott,Veronese II,Medium,Medium,"Medium, Hard",Medium,Medium,Medium,"2, 1, 2, 2, 2, 3, 2, 4, 2, 5, 2, 6","A, B, C, D","Satin upper, Leather sole, Paste box","Egyptian, Greek, Square/Roman",$132–149,Available,"Updated Veronese last, adaptable fit for multiple foot types",Enhanced Traditional,N/A,"https://www.chacott-jp.com/products/veronese2, https://www.movedancewear.com","Fit advisories, Chacott owner reviews."
Chacott,Veronese III,Medium,Medium,"Medium, Hard",Medium,Medium,Medium,"2, 1, 2, 2, 2, 3, 2, 4, 2, 5, 2, 6","A, B, C, D","Satin upper, Leather sole, Paste box","Egyptian, Greek, Square/Roman",$135–151,Available,"Latest update, high platform resilience, fits broad/medium toes",Enhanced Traditional,N/A,"https://www.chacott-jp.com/products/veronese3, https://www.dancewearhouse.com.au",Chacott Japan and reviews.
FR Duval,Duval Studio,Medium,Medium,"Medium, Hard",Medium,Medium,Medium,"3, 5, 3, 6, 3, 7, 3, 8, 3, 9, 4, 0, 4, 1","N, M, W","Satin upper, Leather sole, Paste box","Greek, Egyptian, Square/Roman",$92–$106,Available,"French handmade, moderate oval box for most European feet",Traditional Handmade,N/A,"https://frduval.com/pointe-shoes, https://www.lepetitballetshop.com/fr-duval","French and UK fitters, multi-fit studies."
FR Duval,Duval1 thePRO,Medium,Medium,Hard,Medium,Medium,Medium,"3, 5, 3, 6, 3, 7, 3, 8, 3, 9, 4, 0, 4, 1","N, M, W","Satin upper, Leather sole, Reinforced box","Greek, Egyptian, Square/Roman",$100–$113,Available,"Professional reinforced box, strong platform",Traditional Handmade,N/A,"https://frduval.com/thepro, https://www.balletshoppe.com/frduval1",Platform width/box from product brochure.
FR Duval,Duval3 theEuropean,Square,Wide,"Medium, Strong",Medium,Medium,Medium,"3, 5, 3, 6, 3, 7, 3, 8, 3, 9, 4, 0, 4, 1","N, M, W","Satin upper, Leather sole, Paste box","Square/Roman, Giselle/Peasant",$100–$113,Available,"European cut, wide box, built for broad metatarsals and square toes",Traditional Handmade,N/A,"https://frduval.com/theeuropean, https://www.danceclass.fr/pointes-duval","Fit, width via Duval tech and UK guides."
FR Duval,Duval4 theAmerican,Tapered,Medium,Medium,Medium,Medium,Medium,"3, 5, 3, 6, 3, 7, 3, 8, 3, 9, 4, 0, 4, 1","N, M, W","Satin upper, Leather sole, Paste box","Egyptian, Greek",$100–$113,Available,"Tapered American last, preferred for higher arch and long toes",Traditional Handmade,N/A,"https://frduval.com/theamerican, https://www.lepetitballetshop.com/fr-duval4","US ballet forum fit reviews, French references."
FR Duval,Duval5 theENCORE,Medium,Medium,"Medium, Strong",Medium,Medium,Medium,"3, 5, 3, 6, 3, 7, 3, 8, 3, 9, 4, 0, 4, 1","N, M, W","Satin upper, Leather sole, Paste box, Encore platform","Greek, Egyptian, Square/Roman",$108–$115,Available,"Encore = advanced arch design, multipurpose fit, reinforced for performance.",Traditional Handmade,N/A,"https://frduval.com/theencore, https://www.danceclass.fr/pointes-duval",Foot shape and construction features confirmed from FR Duval official and specialty retailer fit guides.
Freed of London,Classic Deep Vamp,Medium-Tapered,Average,Medium,Deep,Low,Medium,"1, 1, ., 5, 2, 2, ., 5, 3, 3, ., 5, 4, 4, ., 5, 5, 5, ., 5, 6, 6, ., 5, 7, 7, ., 5, 8, 8, ., 5, 9","X, X, X, X, X, X, X, X, X, X","Satin upper, Leather sole, Natural paste, Cotton drawstring",Egyptian,122,Available,"Hand-lasted, biodegradable components, deep round vamp MK DancewearBeam & Barre",Traditional Handmade,"W, R, Z, J",https://freedusa.com/,N/A
Freed of London,Classic Deep Vamp,Medium-Tapered,Average,Strong,Deep,Low,Medium,"1, 1, ., 5, 2, 2, ., 5, 3, 3, ., 5, 4, 4, ., 5, 5, 5, ., 5, 6, 6, ., 5, 7, 7, ., 5, 8, 8, ., 5, 9","X, X, X, X, X, X, X, X, X, X","Satin upper, Leather sole, Natural paste, Cotton drawstring",Egyptian,122,Available,"Hand-lasted, biodegradable components, deep round vamp MK DancewearBeam & Barre",Traditional Handmade,"🦋, K",https://freedusa.com/,N/A
Freed of London,Classic Deep Vamp,Medium-Tapered,Broad,Soft-Medium,Deep,Low,Medium,"1, 1, ., 5, 2, 2, ., 5, 3, 3, ., 5, 4, 4, ., 5, 5, 5, ., 5, 6, 6, ., 5, 7, 7, ., 5, 8, 8, ., 5, 9","X, X, X, X, X, X, X, X, X, X","Satin upper, Leather sole, Natural paste, Cotton drawstring",Egyptian,122,Available,"Hand-lasted, biodegradable components, deep round vamp MK DancewearBeam & Barre",Traditional Handmade,"S, P, V",https://freedusa.com/,N/A
Freed of London,Classic Deep Vamp,Medium-Tapered,Average,Soft,Deep,Low,Medium,"1, 1, ., 5, 2, 2, ., 5, 3, 3, ., 5, 4, 4, ., 5, 5, 5, ., 5, 6, 6, ., 5, 7, 7, ., 5, 8, 8, ., 5, 9","X, X, X, X, X, X, X, X, X, X","Satin upper, Leather sole, Natural paste, Cotton drawstring",Egyptian,122,Available,"Hand-lasted, biodegradable components, deep round vamp MK DancewearBeam & Barre",Traditional Handmade,D,https://freedusa.com/,N/A
Freed of London,Classic Deep Vamp,Medium-Tapered,Broad,Medium-Hard,Deep,Low,Medium,"1, 1, ., 5, 2, 2, ., 5, 3, 3, ., 5, 4, 4, ., 5, 5, 5, ., 5, 6, 6, ., 5, 7, 7, ., 5, 8, 8, ., 5, 9","X, X, X, X, X, X, X, X, X, X","Satin upper, Leather sole, Natural paste, Cotton drawstring",Egyptian,122,Available,"Hand-lasted, biodegradable components, deep round vamp MK DancewearBeam & Barre",Traditional Handmade,"♡, G, N",https://freedusa.com/,N/A
Freed of London,Classic Deep Vamp,Medium-Tapered,Tapered,Medium,Deep,Low,Medium,"1, 1, ., 5, 2, 2, ., 5, 3, 3, ., 5, 4, 4, ., 5, 5, 5, ., 5, 6, 6, ., 5, 7, 7, ., 5, 8, 8, ., 5, 9","X, X, X, X, X, X, X, X, X, X","Satin upper, Leather sole, Natural paste, Cotton drawstring",Egyptian,122,Available,"Hand-lasted, biodegradable components, deep round vamp MK DancewearBeam & Barre",Traditional Handmade,"🍷, △",https://freedusa.com/,N/A
Freed of London,Classic Deep Vamp,Medium-Tapered,Tapered,Soft,Deep,Low,Medium,"1, 1, ., 5, 2, 2, ., 5, 3, 3, ., 5, 4, 4, ., 5, 5, 5, ., 5, 6, 6, ., 5, 7, 7, ., 5, 8, 8, ., 5, 9","X, X, X, X, X, X, X, X, X, X","Satin upper, Leather sole, Natural paste, Cotton drawstring",Egyptian,122,Available,"Hand-lasted, biodegradable components, deep round vamp MK DancewearBeam & Barre",Traditional Handmade,Y,https://freedusa.com/,N/A
Freed of London,Classic Light,Medium,Tapered,Soft,Deep,Medium,Medium,"1, 1, ., 5, 2, 2, ., 5, 3, 3, ., 5, 4, 4, ., 5, 5, 5, ., 5, 6, 6, ., 5, 7, 7, ., 5, 8, 8, ., 5","X, X, X, X, X, X","Satin upper, Leather sole, Natural paste, Cotton drawstring",Egyptian,$100.00-120.00,Available,"Lightweight for young dancers, flexible insole Pointe Shoes - Freed of London",Traditional Handmade,"P, S",https://freedusa.com/,N/A
Freed of London,Classic Plus (DV Wing),Medium-Tapered,Average,Medium,Deep,High,Medium,"1, 1, ., 5, 2, 2, ., 5, 3, 3, ., 5, 4, 4, ., 5, 5, 5, ., 5, 6, 6, ., 5, 7, 7, ., 5, 8, 8, ., 5, 9","X, X, X, X, X, X, X, X, X, X","Satin upper, Leather sole, Natural paste, Cotton drawstring",Egyptian,122,Available,"Hand-lasted, biodegradable components, deep round vamp MK DancewearBeam & Barre",Traditional Handmade,"W, R, Z, J",https://freedusa.com/,N/A
Freed of London,Classic Plus (DV Wing),Medium-Tapered,Average,Strong,Deep,High,Medium,"1, 1, ., 5, 2, 2, ., 5, 3, 3, ., 5, 4, 4, ., 5, 5, 5, ., 5, 6, 6, ., 5, 7, 7, ., 5, 8, 8, ., 5, 9","X, X, X, X, X, X, X, X, X, X","Satin upper, Leather sole, Natural paste, Cotton drawstring",Egyptian,122,Available,"Hand-lasted, biodegradable components, deep round vamp MK DancewearBeam & Barre",Traditional Handmade,"🦋, K",https://freedusa.com/,N/A
Freed of London,Classic Plus (DV Wing),Medium-Tapered,Broad,Soft-Medium,Deep,High,Medium,"1, 1, ., 5, 2, 2, ., 5, 3, 3, ., 5, 4, 4, ., 5, 5, 5, ., 5, 6, 6, ., 5, 7, 7, ., 5, 8, 8, ., 5, 9","X, X, X, X, X, X, X, X, X, X","Satin upper, Leather sole, Natural paste, Cotton drawstring",Egyptian,122,Available,"Hand-lasted, biodegradable components, deep round vamp MK DancewearBeam & Barre",Traditional Handmade,"S, P, V",https://freedusa.com/,N/A
Freed of London,Classic Plus (DV Wing),Medium-Tapered,Average,Soft,Deep,High,Medium,"1, 1, ., 5, 2, 2, ., 5, 3, 3, ., 5, 4, 4, ., 5, 5, 5, ., 5, 6, 6, ., 5, 7, 7, ., 5, 8, 8, ., 5, 9","X, X, X, X, X, X, X, X, X, X","Satin upper, Leather sole, Natural paste, Cotton drawstring",Egyptian,122,Available,"Hand-lasted, biodegradable components, deep round vamp MK DancewearBeam & Barre",Traditional Handmade,D,https://freedusa.com/,N/A
Freed of London,Classic Plus (DV Wing),Medium-Tapered,Broad,Medium-Hard,Deep,High,Medium,"1, 1, ., 5, 2, 2, ., 5, 3, 3, ., 5, 4, 4, ., 5, 5, 5, ., 5, 6, 6, ., 5, 7, 7, ., 5, 8, 8, ., 5, 9","X, X, X, X, X, X, X, X, X, X","Satin upper, Leather sole, Natural paste, Cotton drawstring",Egyptian,122,Available,"Hand-lasted, biodegradable components, deep round vamp MK DancewearBeam & Barre",Traditional Handmade,"♡, G, N",https://freedusa.com/,N/A
