Brand,Model Name,Box Shape,Platform Width,Shank Strength,Vamp Length,Wing Height,Heel Height,Available Sizes,Available Widths,Customization Options,Material Composition,Intended Foot Shape,Arch Support Level,Durability Rating,Price Range,Price Sources,Availability: Current or Discontinued,Notes,Springiness,Technology Type,Base Model Name,Freed Makers,freed_makers
Freed of London,Classic Light,Medium-Tapered,Average,Soft,Long,Medium,Medium,"2, 2.5, 3, 3.5, 4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5","X, XX, XXX","Maker: 6, Paste: Light, Platform: Average","Satin upper, Leather sole, Natural paste, Cotton drawstring","Greek, Egyptian",Low,Medium,$100.00-120.00,,Available,"Lightweight for young dancers, flexible insole Pointe Shoes - Freed of London",1,Traditional Handmade,Classic Light,"6, ✠","6, ✠"
Freed of London,Classic Light,Very Tapered,Tapered,Soft,Long,Medium,Medium,"2, 2.5, 3, 3.5, 4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5","X, XX, XXX","Maker: Y, Paste: Light, Platform: Tapered","Satin upper, Leather sole, Natural paste, Cotton drawstring",Egyptian,Low,Medium,$100.00-120.00,,Available,"Lightweight for young dancers, flexible insole Pointe Shoes - Freed of London",1,Traditional Handmade,Classic Light,">◗, D, T, Y, △, 🛡",">◗, D, T, Y, △, 🛡"
Freed of London,Classic Professional,Medium,Average,Medium,Long,Medium,Medium,"2, 2.5, 3, 3.5, 4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5","X, XX, XXX","Maker: Z, Paste: Average, Platform: Average","Satin upper, Leather sole, Natural paste, Elastic drawstring",Greek,Medium-High,High,122,,Available,"Graduated design strong under metatarsal, flexible under heel Pointe Shoes - Freed of London",2,Traditional Handmade,Classic Professional,"J, Z","J, Z"
Freed of London,Classic Professional,Medium-Square,Broad,Medium,Long,Medium,Medium,"2, 2.5, 3, 3.5, 4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5","X, XX, XXX","Maker: V, Paste: Medium, Platform: Broad","Satin upper, Leather sole, Natural paste, Elastic drawstring","Square/Roman, Square/Roman",Medium-High,High,122,,Available,"Graduated design strong under metatarsal, flexible under heel Pointe Shoes - Freed of London",2,Traditional Handmade,Classic Professional,V,V
Freed of London,Classic Professional,Square,Broad,Medium,Long,Medium,Medium,"2, 2.5, 3, 3.5, 4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5","X, XX, XXX","Maker: ⚓, Paste: Medium, Platform: Broad","Satin upper, Leather sole, Natural paste, Elastic drawstring","Square/Roman, Square/Roman",Medium-High,High,122,,Available,"Graduated design strong under metatarsal, flexible under heel Pointe Shoes - Freed of London",2,Traditional Handmade,Classic Professional,⚓,⚓
Freed of London,Classic Professional,Tapered,Tapered,Medium,Long,Medium,Medium,"2, 2.5, 3, 3.5, 4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5","X, XX, XXX","Maker: F, Paste: Medium, Platform: Tapered","Satin upper, Leather sole, Natural paste, Elastic drawstring",Egyptian,Medium-High,High,122,,Available,"Graduated design strong under metatarsal, flexible under heel Pointe Shoes - Freed of London",2,Traditional Handmade,Classic Professional,"F, ♣","F, ♣"
Freed of London,Classic Professional,Very Tapered,Tapered,Soft,Long,Medium,Medium,"2, 2.5, 3, 3.5, 4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5","X, XX, XXX","Maker: 🛡, Paste: Light, Platform: Tapered","Satin upper, Leather sole, Natural paste, Elastic drawstring",Egyptian,Medium-High,High,122,,Available,"Graduated design strong under metatarsal, flexible under heel Pointe Shoes - Freed of London",2,Traditional Handmade,Classic Professional,"D, 🛡","D, 🛡"
Freed of London,Classic Professional 90,Medium,Average,Medium,Long,Medium,Medium,"2, 2.5, 3, 3.5, 4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5","X, XX, XXX","Maker: R, Paste: Average, Platform: Average","Satin upper, Leather sole, Natural paste, Elastic drawstring",Greek,Medium-High,High,122,,Available,"90-degree platform angle, deep round vamp, 3/4 shank DancefashionssuperstoreThepointeshop",2,Traditional Handmade,Classic Professional 90,R,R
Freed of London,Classic Professional 90,Medium-Square,Average,Strong,Long,Medium,Medium,"2, 2.5, 3, 3.5, 4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5","X, XX, XXX","Maker: K, Paste: Strong, Platform: Average","Satin upper, Leather sole, Natural paste, Elastic drawstring","Greek, Square/Roman",Medium-High,High,122,,Available,"90-degree platform angle, deep round vamp, 3/4 shank DancefashionssuperstoreThepointeshop",2,Traditional Handmade,Classic Professional 90,"K, ★, 🦋","K, ★, 🦋"
Freed of London,Classic Professional 90,Medium-Square,Broad,Soft-Medium,Long,Medium,Medium,"2, 2.5, 3, 3.5, 4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5","X, XX, XXX","Maker: 👑, Paste: Light-Medium, Platform: Broad","Satin upper, Leather sole, Natural paste, Elastic drawstring","Square/Roman, Square/Roman",Medium-High,High,122,,Available,"90-degree platform angle, deep round vamp, 3/4 shank DancefashionssuperstoreThepointeshop",2,Traditional Handmade,Classic Professional 90,"P, 👑","P, 👑"
Freed of London,Classic Professional 90,Medium-Tapered,Average,Soft,Long,Medium,Medium,"2, 2.5, 3, 3.5, 4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5","X, XX, XXX","Maker: ✠, Paste: Light, Platform: Average","Satin upper, Leather sole, Natural paste, Elastic drawstring","Greek, Egyptian",Medium-High,High,122,,Available,"90-degree platform angle, deep round vamp, 3/4 shank DancefashionssuperstoreThepointeshop",2,Traditional Handmade,Classic Professional 90,✠,✠
Freed of London,Classic Professional 90,Square,Broad,Medium,Long,Medium,Medium,"2, 2.5, 3, 3.5, 4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5","X, XX, XXX","Maker: ♡, Paste: Medium, Platform: Broad","Satin upper, Leather sole, Natural paste, Elastic drawstring","Square/Roman, Square/Roman",Medium-High,High,122,,Available,"90-degree platform angle, deep round vamp, 3/4 shank DancefashionssuperstoreThepointeshop",2,Traditional Handmade,Classic Professional 90,♡,♡
Freed of London,Classic Professional 90,Square,Broad,Strong,Long,Medium,Medium,"2, 2.5, 3, 3.5, 4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5","X, XX, XXX","Maker: G, Paste: Medium-Strong, Platform: Broad","Satin upper, Leather sole, Natural paste, Elastic drawstring","Square/Roman, Square/Roman",Medium-High,High,122,,Available,"90-degree platform angle, deep round vamp, 3/4 shank DancefashionssuperstoreThepointeshop",2,Traditional Handmade,Classic Professional 90,G,G
Freed of London,Classic Professional 90,Tapered,Tapered,Medium,Long,Medium,Medium,"2, 2.5, 3, 3.5, 4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5","X, XX, XXX","Maker: ♣, Paste: Medium, Platform: Tapered","Satin upper, Leather sole, Natural paste, Elastic drawstring",Egyptian,Medium-High,High,122,,Available,"90-degree platform angle, deep round vamp, 3/4 shank DancefashionssuperstoreThepointeshop",2,Traditional Handmade,Classic Professional 90,♣,♣
Freed of London,Classic Professional 90,Very Tapered,Tapered,Soft,Long,Medium,Medium,"2, 2.5, 3, 3.5, 4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5","X, XX, XXX","Maker: △, Paste: Light, Platform: Tapered","Satin upper, Leather sole, Natural paste, Elastic drawstring",Egyptian,Medium-High,High,122,,Available,"90-degree platform angle, deep round vamp, 3/4 shank DancefashionssuperstoreThepointeshop",2,Traditional Handmade,Classic Professional 90,"Y, △","Y, △"
Freed of London,Classic Professional Hard,Medium,Average,Medium,Long,Medium,Medium,"2, 2.5, 3, 3.5, 4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5","X, XX, XXX","Maker: W, Paste: Average, Platform: Average","Satin upper, Leather sole, Natural paste, Elastic drawstring",Greek,High,High,122,,Available,"Extra strong under metatarsal, deep V-shaped vamp Pointe Shoes - Freed of London",2,Traditional Handmade,Classic Professional Hard,"J, L, Q, R, W, Z, ⊕, ⛰, ✚","J, L, Q, R, W, Z, ⊕, ⛰, ✚"
Freed of London,Classic Professional Hard,Medium-Square,Average,Strong,Long,Medium,Medium,"2, 2.5, 3, 3.5, 4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5","X, XX, XXX","Maker: 🦋, Paste: Strong, Platform: Average","Satin upper, Leather sole, Natural paste, Elastic drawstring","Greek, Square/Roman",High,High,122,,Available,"Extra strong under metatarsal, deep V-shaped vamp Pointe Shoes - Freed of London",2,Traditional Handmade,Classic Professional Hard,"B, K, ★, 🦋","B, K, ★, 🦋"
Freed of London,Classic Professional Hard,Medium-Square,Broad,Medium,Long,Medium,Medium,"2, 2.5, 3, 3.5, 4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5","X, XX, XXX","Maker: A, Paste: Medium, Platform: Broad","Satin upper, Leather sole, Natural paste, Elastic drawstring","Square/Roman, Square/Roman",High,High,122,,Available,"Extra strong under metatarsal, deep V-shaped vamp Pointe Shoes - Freed of London",2,Traditional Handmade,Classic Professional Hard,"A, V, 🔱","A, V, 🔱"
Freed of London,Classic Professional Hard,Medium-Square,Broad,Soft-Medium,Long,Medium,Medium,"2, 2.5, 3, 3.5, 4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5","X, XX, XXX","Maker: S, Paste: Light-Medium, Platform: Broad","Satin upper, Leather sole, Natural paste, Elastic drawstring","Square/Roman, Square/Roman",High,High,122,,Available,"Extra strong under metatarsal, deep V-shaped vamp Pointe Shoes - Freed of London",2,Traditional Handmade,Classic Professional Hard,"P, S, 👑","P, S, 👑"
Freed of London,Classic Professional Hard,Medium-Tapered,Average,Soft,Long,Medium,Medium,"2, 2.5, 3, 3.5, 4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5","X, XX, XXX","Maker: 6, Paste: Light, Platform: Average","Satin upper, Leather sole, Natural paste, Elastic drawstring","Greek, Egyptian",High,High,122,,Available,"Extra strong under metatarsal, deep V-shaped vamp Pointe Shoes - Freed of London",2,Traditional Handmade,Classic Professional Hard,"6, ✠","6, ✠"
Freed of London,Classic Professional Hard,Square,Broad,Medium,Long,Medium,Medium,"2, 2.5, 3, 3.5, 4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5","X, XX, XXX","Maker: ♡, Paste: Medium, Platform: Broad","Satin upper, Leather sole, Natural paste, Elastic drawstring","Square/Roman, Square/Roman",High,High,122,,Available,"Extra strong under metatarsal, deep V-shaped vamp Pointe Shoes - Freed of London",2,Traditional Handmade,Classic Professional Hard,"N, ♠, ♡, ⚓","N, ♠, ♡, ⚓"
Freed of London,Classic Professional Hard,Square,Broad,Strong,Long,Medium,Medium,"2, 2.5, 3, 3.5, 4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5","X, XX, XXX","Maker: G, Paste: Medium-Strong, Platform: Broad","Satin upper, Leather sole, Natural paste, Elastic drawstring","Square/Roman, Square/Roman",High,High,122,,Available,"Extra strong under metatarsal, deep V-shaped vamp Pointe Shoes - Freed of London",2,Traditional Handmade,Classic Professional Hard,G,G
Freed of London,Classic Professional Hard,Tapered,Tapered,Medium,Long,Medium,Medium,"2, 2.5, 3, 3.5, 4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5","X, XX, XXX","Maker: F, Paste: Medium, Platform: Tapered","Satin upper, Leather sole, Natural paste, Elastic drawstring",Egyptian,High,High,122,,Available,"Extra strong under metatarsal, deep V-shaped vamp Pointe Shoes - Freed of London",2,Traditional Handmade,Classic Professional Hard,"F, ▲, ♣","F, ▲, ♣"
Freed of London,Classic Professional Hard,Very Tapered,Tapered,Soft,Long,Medium,Medium,"2, 2.5, 3, 3.5, 4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5","X, XX, XXX","Maker: Y, Paste: Light, Platform: Tapered","Satin upper, Leather sole, Natural paste, Elastic drawstring",Egyptian,High,High,122,,Available,"Extra strong under metatarsal, deep V-shaped vamp Pointe Shoes - Freed of London",2,Traditional Handmade,Classic Professional Hard,">◗, D, T, Y, △, 🛡",">◗, D, T, Y, △, 🛡"
Freed of London,DV Wing,Medium,Average,Medium,Long,High,Medium,"2, 2.5, 3, 3.5, 4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5","X, XX, XXX","Maker: W, Paste: Average, Platform: Average","Satin upper, Leather sole, Natural paste, Cotton drawstring",Greek,Medium,High,122,,Available,Deep vamp with wing block construction,1,Traditional Handmade,DV Wing,"J, L, Q, R, W, Z, ⊕, ⛰, ✚","J, L, Q, R, W, Z, ⊕, ⛰, ✚"
Freed of London,DV Wing,Medium-Square,Average,Strong,Long,High,Medium,"2, 2.5, 3, 3.5, 4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5","X, XX, XXX","Maker: 🦋, Paste: Strong, Platform: Average","Satin upper, Leather sole, Natural paste, Cotton drawstring","Greek, Square/Roman",Medium,High,122,,Available,Deep vamp with wing block construction,1,Traditional Handmade,DV Wing,"B, K, ★, 🦋","B, K, ★, 🦋"
Freed of London,DV Wing,Medium-Square,Broad,Medium,Long,High,Medium,"2, 2.5, 3, 3.5, 4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5","X, XX, XXX","Maker: A, Paste: Medium, Platform: Broad","Satin upper, Leather sole, Natural paste, Cotton drawstring","Square/Roman, Square/Roman",Medium,High,122,,Available,Deep vamp with wing block construction,1,Traditional Handmade,DV Wing,"A, V, 🔱","A, V, 🔱"
Freed of London,DV Wing,Medium-Square,Broad,Soft-Medium,Long,High,Medium,"2, 2.5, 3, 3.5, 4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5","X, XX, XXX","Maker: S, Paste: Light-Medium, Platform: Broad","Satin upper, Leather sole, Natural paste, Cotton drawstring","Square/Roman, Square/Roman",Medium,High,122,,Available,Deep vamp with wing block construction,1,Traditional Handmade,DV Wing,"P, S, 👑","P, S, 👑"
Freed of London,DV Wing,Medium-Tapered,Average,Soft,Long,High,Medium,"2, 2.5, 3, 3.5, 4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5","X, XX, XXX","Maker: 6, Paste: Light, Platform: Average","Satin upper, Leather sole, Natural paste, Cotton drawstring","Greek, Egyptian",Medium,High,122,,Available,Deep vamp with wing block construction,1,Traditional Handmade,DV Wing,"6, ✠","6, ✠"
Freed of London,DV Wing,Square,Broad,Medium,Long,High,Medium,"2, 2.5, 3, 3.5, 4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5","X, XX, XXX","Maker: ♡, Paste: Medium, Platform: Broad","Satin upper, Leather sole, Natural paste, Cotton drawstring","Square/Roman, Square/Roman",Medium,High,122,,Available,Deep vamp with wing block construction,1,Traditional Handmade,DV Wing,"N, ♠, ♡, ⚓","N, ♠, ♡, ⚓"
Freed of London,DV Wing,Square,Broad,Strong,Long,High,Medium,"2, 2.5, 3, 3.5, 4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5","X, XX, XXX","Maker: G, Paste: Medium-Strong, Platform: Broad","Satin upper, Leather sole, Natural paste, Cotton drawstring","Square/Roman, Square/Roman",Medium,High,122,,Available,Deep vamp with wing block construction,1,Traditional Handmade,DV Wing,G,G
Freed of London,DV Wing,Tapered,Tapered,Medium,Long,High,Medium,"2, 2.5, 3, 3.5, 4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5","X, XX, XXX","Maker: F, Paste: Medium, Platform: Tapered","Satin upper, Leather sole, Natural paste, Cotton drawstring",Egyptian,Medium,High,122,,Available,Deep vamp with wing block construction,1,Traditional Handmade,DV Wing,"F, ▲, ♣","F, ▲, ♣"
Freed of London,DV Wing,Very Tapered,Tapered,Soft,Long,High,Medium,"2, 2.5, 3, 3.5, 4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5","X, XX, XXX","Maker: Y, Paste: Light, Platform: Tapered","Satin upper, Leather sole, Natural paste, Cotton drawstring",Egyptian,Medium,High,122,,Available,Deep vamp with wing block construction,1,Traditional Handmade,DV Wing,">◗, D, T, Y, △, 🛡",">◗, D, T, Y, △, 🛡"
Freed of London,Studio,Medium-Tapered,Average,Hard,Medium,High,Medium,"2, 2.5, 3, 3.5, 4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5","A, B, C, D",Shank: Hard,"Satin upper, Leather sole, Natural paste, Cotton drawstring","Egyptian, Greek",Medium,High,114,,Available,"Factory-made with standardized procedures, deep V-cut vamp, strong supportive block, tapered platform, slightly dipped sides, hard shank",1,Traditional Machine‑Made,Studio,,
Freed of London,Studio,Medium-Tapered,Average,Medium,Medium,High,Medium,"2, 2.5, 3, 3.5, 4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5","A, B, C, D",Shank: Standard or Hard,"Satin upper, Leather sole, Natural paste, Cotton drawstring","Egyptian, Greek",Medium,High,114,,Available,"Factory-made with standardized procedures, deep V-cut vamp, strong supportive block, tapered platform, slightly dipped sides",1,Traditional Machine‑Made,Studio,,
Freed of London,Studio II,Square,Broad,Hard,Deep,Low,Low,"2, 2.5, 3, 3.5, 4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5","A, B, C, D",Shank: Full Hard,"Satin upper, Leather sole, Natural paste, Cotton drawstring","Square/Roman, Greek",Low,High,114,,Available,"Low-profile, deep U-shaped vamp, square box, wider platform, full hard shank, extremely low-profile design",1,Traditional Machine‑Made,Studio II,,
Freed of London,Studio II,Square,Broad,Medium,Deep,Low,Low,"2, 2.5, 3, 3.5, 4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5","A, B, C, D",Shank: Full Standard or Hard,"Satin upper, Leather sole, Natural paste, Cotton drawstring","Square/Roman, Greek",Low,High,114,,Available,"Low-profile, deep U-shaped vamp, square box, wider platform, full shank, extremely low-profile design",1,Traditional Machine‑Made,Studio II,,
Freed of London,Studio Opera,Medium,Average,Soft,Low,Medium,Medium,"2, 2.5, 3, 3.5, 4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5","A, B, C, D",Shank: Soft/Flexible,"Satin upper, Leather sole, Natural paste, Cotton drawstring","Greek, Egyptian",Low,Medium,114,,Available,"Lightweight box, soft flexible shank, low round cut vamp, perfect for beginners and professionals wanting supple shank",1,Traditional Machine‑Made,Studio Opera,,
Freed of London,Studio Professional,Medium-Tapered,Average,Hard,Deep,Medium,Low,"2, 2.5, 3, 3.5, 4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5","A, B, C, D","Shank: 3/4 Hard, Vamp: V or Round","Satin upper, Leather sole, Natural paste, Elastic drawstring","Egyptian, Greek",Medium,High,120,,Available,"3/4 hard shank, cut-down back satin panels, internal shock absorbing platform, strong wing block, tapered platform",1,Traditional Machine‑Made,Studio Professional,,
Freed of London,Studio Professional,Medium-Tapered,Average,Medium,Deep,Medium,Low,"2, 2.5, 3, 3.5, 4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5","A, B, C, D","Shank: 3/4 Standard or Hard, Vamp: V or Round","Satin upper, Leather sole, Natural paste, Elastic drawstring","Egyptian, Greek",Medium,High,120,,Available,"3/4 shank, cut-down back satin panels, internal shock absorbing platform, strong wing block, tapered platform",1,Traditional Machine‑Made,Studio Professional,,
Grishko/Nikolay,2007,Tapered,Medium,"Hard, Medium, Soft, Super Hard, Super Soft",Medium,Medium,High,"0.5, 1, 1.5, 2, 2.5, 3, 3.5, 4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5","X, XX, XXX, XXXX, XXXXX","Pro version, Pro Flex version, Custom paste options, Tropicana paste","Satin upper, Leather sole, Smart paste box, Cotton drawstring","Egyptian, Greek",Medium,High,79.5,,Available,"Most popular model, lightweight, 3/4 shank with roll-through design",2,Traditional Handmade,,,
Grishko/Nikolay,3007,Tapered,Medium,"Hard, Medium, Soft, Super Hard, Super Soft",Medium,Medium,High,"0.5, 1, 1.5, 2, 2.5, 3, 3.5, 4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5, 8, 8.5","X, XX, XXX, XXXX, XXXXX","Pro version, Pro Flex version, Custom paste options","Satin upper, Leather sole, Smart paste box, Cotton drawstring","Egyptian, Greek",Medium,High,79.5,,Available,"US version of 2007 with improvements, same last",2,Traditional Handmade,,,
Merlet,Adage,Medium-Square,Medium-Wide,"Hard, Medium",Medium,Medium,Medium,"34, 35, 36, 37, 38, 39, 40, 41, 42","B, C, D",Multiple shank options,"Satin upper, Traditional construction, Leather sole","Square/Roman, Greek",Medium,High,$120.00-140.00,,Available,Designed for versatile foot shapes,3,Composite/Advanced Materials,,,
Bloch,Advanced,Medium,Wide,Medium,Long,Medium,Medium,"2, 2.5, 3, 3.5, 4, 4.5, 5, 5.5, 6, 6.5, 7, 7.5, 8","A, B, C, D, E",3/4 shank option,"Satin upper, Leather sole, B Paste","Greek, Square/Roman",Medium,High,$115-130*,,Available,"Wide platform, long vamp, specialized shoe",2,Enhanced Traditional,,,
Capezio,Airess Broad Toe,Broad,Wide,Strong,Medium,Medium,Medium,"6, 6.5, 7, 7.5, 8, 8.5, 9, 9.5, 10, 10.5","M, W, WW",Standard shank,"Satin upper, Leather sole, Microfiber lining",Square/Roman,High,High,$75*,,Available,"Wide toe box for square foot shapes, same tech as Airess Tapered",1,Traditional Handmade,,,
Capezio,Airess Tapered Toe,Tapered,Medium,Strong,Medium,Medium,Medium,"6, 6.5, 7, 7.5, 8, 8.5, 9, 9.5, 10, 10.5","M, W, WW",Standard shank,"Satin upper, Leather sole, Microfiber lining",Egyptian,High,High,$75*,,Available,"6.5” red board shank, 3/4 skived to zero.",1,Traditional Handmade,,,
